event,event_start_local,event_end_local,n_event_hours,n_grids,n_gauges_used,n_gauges_per_grid
5,2016-08-26 06:00:00,2016-08-27 12:00:00,31,4627,101,4

station_id,file_exists,rows_read,n_duplicates_collapsed,n_bad_time_rows_dropped,n_missing_after_reindex,n_filled_as_zero
16005,True,119226,13,0,22,22
16006,True,119224,13,0,20,20
16007,True,119214,13,0,22,22
16008,True,119218,13,0,23,23
16010,True,96500,11,0,19,19
16011,True,104153,12,0,22,22
16013,True,119223,13,0,23,23
16014,True,95109,11,0,21,21
16015,True,119218,13,0,23,23
16016,True,113129,13,0,20,20
16017,True,109568,12,0,21,21
16018,True,119206,13,0,22,22
16019,True,105157,12,0,23,23
16020,True,105149,12,0,23,23
16021,True,105163,12,0,24,24
16022,True,105155,12,0,24,24
16023,True,105154,12,0,25,25
16024,True,101860,11,0,24,24
16025,True,105161,12,0,24,24
16026,True,104358,12,0,23,23
16027,True,105153,12,0,24,24
16028,True,119219,13,0,22,22
16029,True,110428,12,0,22,22
16030,True,119221,13,0,22,22
16031,True,105155,12,0,24,24
16032,True,105155,12,0,23,23
16033,True,105156,12,0,25,25
16034,True,105147,12,0,23,23
16035,True,119225,13,0,23,23
16036,True,105154,12,0,23,23
16037,True,119223,13,0,23,23
16038,True,96766,11,0,21,21
16039,True,119221,13,0,23,23
16040,True,119221,13,0,23,23
16042,True,119219,13,0,21,21
16043,True,119218,13,0,22,22
16044,True,119224,13,0,22,22
16045,True,119223,13,0,21,21
16046,True,105153,12,0,24,24
16047,True,105157,12,0,23,23
16048,True,119216,13,0,24,24
16049,True,119217,13,0,22,22
16050,True,105156,12,0,20,20
16051,True,105158,12,0,20,20
16052,True,105162,12,0,20,20
16053,True,104289,12,0,19,19
16054,True,105153,12,0,19,19
16055,True,98172,11,0,21,21
16057,True,119223,13,0,19,19
16058,True,119222,13,0,19,19
16059,True,119214,13,0,21,21
16060,True,85078,9,0,20,20
16061,True,119217,13,0,18,18
16062,True,119217,13,0,20,20
16063,True,119217,13,0,20,20
16064,True,119216,13,0,21,21
16065,True,119221,13,0,20,20
16066,True,119210,13,0,20,20
16067,True,119220,13,0,20,20
16068,True,119222,13,0,21,21
16069,True,119208,13,0,20,20
16070,True,119218,13,0,19,19
16071,True,119220,13,0,8,8
16072,True,119215,13,0,18,18
16073,True,119208,13,0,20,20
16074,True,119214,13,0,20,20
16075,True,119212,13,0,19,19
16076,True,119222,13,0,21,21
16077,True,119218,13,0,20,20
16078,True,119219,13,0,24,24
16079,True,119213,13,0,17,17
16081,True,119127,13,0,20,20
16084,True,119219,13,0,27,27
16085,True,119220,13,0,20,20
16086,True,119229,13,0,20,20
16088,True,94436,11,0,23,23
16090,True,68174,8,0,21,21
16093,True,119228,13,0,22,22
16094,True,119215,13,0,22,22
16095,True,119213,13,0,21,21
16096,True,96586,11,0,19,19
1720,True,119229,13,0,24,24
2420,True,119216,13,0,23,23
2700,True,119218,13,0,21,21
2710,True,119210,13,0,22,22
2790,True,117991,13,0,21,21
2800,True,119212,13,0,22,22
2900,True,105155,12,0,21,21
3000,True,105157,12,0,21,21
5100,True,119215,13,0,22,22
5110,True,119037,13,0,21,21
5170,True,119206,13,0,24,24
5200,True,119224,13,0,21,21
5600,True,119208,13,0,21,21
5700,True,119229,13,0,20,20
5800,True,119217,13,0,21,21
5900,True,119219,13,0,22,22
7000,True,106181,12,0,18,18
7020,True,95566,11,0,12,12
7050,True,92086,11,0,18,18
7080,True,92119,11,0,28,28
